task,group,method,metrics_path,config_path,is_final,note,exists,rmse,mae,nasa_score,ra,alpha_lambda_0.5,alpha_lambda_0.8,last_window_rmse,last_5_avg_rmse,best_epoch,num_parameters,latency_ms_per_sample
first,final,"Physics-Guided Stage-aware Transfer Domain Adaptation with Stage Auxiliary Calibration, Reliability-weighted Stage Prototype Alignment, and Validation-only Time-aware Output Calibration (PG-STDA-SAC-RSPA-TC)",outputs/first_transfer_pg_stda_rspa_50e/pg_stda_sac_rspa_timecal_deg2_ridge0p01_50e/transfer_metrics.json,configs/xjtu_to_reaction_wheel_pg_stda_sac_rspa_timecal_deg2_ridge0p01_50e.yaml,True,recommended final with validation-only time-aware output calibration,True,0.08911279593737513,0.06912726886080743,4.8413769944431895,0.741846046519735,0.6951219512195121,0.3411764705882353,0.13999246551920136,0.14507746388937198,49.0,49104.0,0.10478082821815862
first,final_variant,PG-STDA-SAC-RSPA uncalibrated,outputs/first_transfer_pg_stda_rspa_50e/pg_stda_sac_rspa_w0p0005_c0p5_srcsup0p7_50e/transfer_metrics.json,configs/xjtu_to_reaction_wheel_pg_stda_sac_rspa_w0p0005_c0p5_srcsup0p7_50e.yaml,False,strict unsupervised model before validation-only output calibration,True,0.12737950239451373,0.10038491987163584,7.0249427882025515,0.690220229812321,0.4024390243902439,0.35294117647058826,0.17322248664648657,0.16204225504009293,49.0,49104.0,0.10478082821815862
first,final_variant,PG-STDA-SAC-RSPA weighted checkpoint,outputs/first_transfer_pg_stda_rspa_50e/pg_stda_sac_rspa_w0p0005_c0p5_srcsup0p7_weighted_ckpt_50e/transfer_metrics.json,configs/xjtu_to_reaction_wheel_pg_stda_sac_rspa_w0p0005_c0p5_srcsup0p7_weighted_ckpt_50e.yaml,False,balanced checkpoint reference,True,0.13002860675678904,0.10285075857178666,7.002310933700912,0.6954055718191161,0.4268292682926829,0.27058823529411763,0.15084466287006537,0.14341329984874826,46.0,49104.0,0.09479677915538123
second,final,"Physics-Guided Stage-aware Transfer Domain Adaptation with Stage Auxiliary Calibration, Reliability-weighted Stage Prototype Alignment, and Validation-only Time-aware Output Calibration (PG-STDA-SAC-RSPA-TC)",outputs/second_transfer_pg_stda_rspa_50e/pg_stda_sac_rspa_timecal_deg2_ridge0p01_50e/transfer_metrics.json,configs/nasa_to_satellite_battery_pg_stda_sac_rspa_timecal_deg2_ridge0p01_50e.yaml,True,recommended final with validation-only time-aware output calibration,True,0.1524982309648634,0.11608622904288855,29.549539833399695,0.6706421217451247,0.5351170568561873,0.28378378378378377,0.20523710414114543,0.2107637907486991,47.0,48848.0,0.22639992186839208
second,final_variant,PG-STDA-SAC-RSPA uncalibrated,outputs/second_transfer_pg_stda_rspa_50e/pg_stda_sac_rspa_w0p001_c0p5_srcsup0p7_50e/transfer_metrics.json,configs/nasa_to_satellite_battery_pg_stda_sac_rspa_w0p001_c0p5_srcsup0p7_50e.yaml,False,strict unsupervised model before validation-only output calibration,True,0.2888416498063437,0.23164125740010574,58.93006578968733,0.5117178136313318,0.47491638795986624,0.12162162162162163,0.31110669193874674,0.3166404319506991,47.0,48848.0,0.22639992186839208
first,strict_baseline,P-SA-MCD source-only,outputs/first_transfer_50e/xjtu_to_reaction_wheel_source_only_50e/transfer_metrics.json,,False,,True,0.2830678258418715,0.2411772559955119,16.946108727697172,0.4870031222690238,0.6463414634146342,0.0,0.49807291770113266,0.45303634356070227,50.0,49104.0,0.1716498466248037
first,strict_baseline,P-SA-MCD global MMD,outputs/first_transfer_50e/xjtu_to_reaction_wheel_global_mmd_50e/transfer_metrics.json,,False,,True,0.27988488139218487,0.23905244195589032,17.100529804814617,0.4896831734015448,0.7926829268292683,0.0,0.4853982541321075,0.48071978567818285,1.0,49104.0,0.15459493864870688
first,strict_baseline,P-SA-MCD stage LMMD + pseudo-time,outputs/first_transfer_strict_50e/psa_mcd_stage_lmmd_pseudo_time_w0p003_50e/transfer_metrics.json,,False,,True,0.1942738832350175,0.15351684522450879,10.67614590339976,0.6024109930462338,0.25609756097560976,0.2,0.21337882357361107,0.2079362299719035,48.0,49104.0,0.09489923312813611
first,strict_baseline,P-TCN source-only,outputs/first_transfer_strict_50e/ptcn_source_only_50e/transfer_metrics.json,,False,,True,0.3597236268064801,0.2911274723239983,20.685916867284227,0.4428140984685884,0.3902439024390244,0.047058823529411764,0.5262206813559334,0.5165487470268393,25.0,26401.0,0.055517177912808365
first,strict_baseline,P-TCN global MMD,outputs/first_transfer_strict_50e/ptcn_global_mmd_50e/transfer_metrics.json,,False,,True,0.27789221847593953,0.2374631877997532,16.9778223628703,0.4933621337146944,0.7682926829268293,0.011764705882352941,0.46883970455698504,0.47233353025148456,4.0,26401.0,0.050421625764118655
first,strict_baseline,P-TCN stage LMMD + pseudo-time,outputs/first_transfer_strict_50e/ptcn_stage_lmmd_pseudo_time_w0p003_50e/transfer_metrics.json,,False,,True,0.27921791161220255,0.23611222764518924,16.853601360530565,0.49407388104106287,0.5365853658536586,0.011764705882352941,0.4682157524439363,0.4705179910259505,5.0,26401.0,0.05687607361524769
first,strict_baseline,LSTM stage LMMD + pseudo-time,outputs/first_transfer_strict_50e/lstm_stage_lmmd_pseudo_time_w0p003_50e/transfer_metrics.json,,False,,True,0.2655690730764399,0.22893581078119146,16.442128209358646,0.49847741998757195,0.7560975609756098,0.0,0.4683514805012498,0.46909899648126474,1.0,56001.0,0.026319785281025555
first,strict_baseline,GRU stage LMMD + pseudo-time,outputs/first_transfer_strict_50e/gru_stage_lmmd_pseudo_time_w0p003_50e/transfer_metrics.json,,False,,True,0.27325978622854347,0.2299790347720353,16.472412992320294,0.5055690540462549,0.6951219512195121,0.011764705882352941,0.4707950891725228,0.4720071891650478,3.0,42561.0,0.05098819018506225
